Date - Heure;Date;Heure;Code INSEE région;Région;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2021-03-31T12:30:00+02:00;2021-03-31;12:30;11;Île-de-France;;;;;;7844;Consolidé;
2021-03-31T23:00:00+02:00;2021-03-31;23:00;11;Île-de-France;4538;Définitif;;;4538;7031;Consolidé;11569
2021-04-01T00:30:00+02:00;2021-04-01;00:30;11;Île-de-France;;;;;;6429;Consolidé;
2021-04-01T03:00:00+02:00;2021-04-01;03:00;11;Île-de-France;4608;Définitif;;;4608;5275;Consolidé;9883
2021-04-01T03:30:00+02:00;2021-04-01;03:30;11;Île-de-France;;;;;;5200;Consolidé;
2021-04-01T08:00:00+02:00;2021-04-01;08:00;11;Île-de-France;7709;Définitif;;;7709;7303;Consolidé;15012
2021-04-01T09:00:00+02:00;2021-04-01;09:00;11;Île-de-France;6687;Définitif;;;6687;7633;Consolidé;14320
2021-04-01T13:30:00+02:00;2021-04-01;13:30;11;Île-de-France;;;;;;7505;Consolidé;
2021-04-01T17:30:00+02:00;2021-04-01;17:30;11;Île-de-France;;;;;;6825;Consolidé;
2021-04-01T21:30:00+02:00;2021-04-01;21:30;11;Île-de-France;;;;;;6815;Consolidé;
2021-04-01T23:00:00+02:00;2021-04-01;23:00;11;Île-de-France;3984;Définitif;;;3984;6841;Consolidé;10825
2021-04-02T05:00:00+02:00;2021-04-02;05:00;11;Île-de-France;8967;Définitif;;;8967;5223;Consolidé;14190
2021-04-02T06:30:00+02:00;2021-04-02;06:30;11;Île-de-France;;;;;;6112;Consolidé;
2021-04-02T09:00:00+02:00;2021-04-02;09:00;11;Île-de-France;9266;Définitif;;;9266;7867;Consolidé;17133
2021-04-02T11:30:00+02:00;2021-04-02;11:30;11;Île-de-France;;;;;;7888;Consolidé;
2021-04-02T14:00:00+02:00;2021-04-02;14:00;11;Île-de-France;6698;Définitif;;;6698;7636;Consolidé;14334
2021-04-02T17:30:00+02:00;2021-04-02;17:30;11;Île-de-France;;;;;;7031;Consolidé;
2021-04-02T21:00:00+02:00;2021-04-02;21:00;11;Île-de-France;8883;Définitif;;;8883;7718;Consolidé;16601
2021-04-02T22:30:00+02:00;2021-04-02;22:30;11;Île-de-France;;;;;;7242;Consolidé;
2021-04-03T00:30:00+02:00;2021-04-03;00:30;11;Île-de-France;;;;;;6826;Consolidé;
2021-04-03T04:00:00+02:00;2021-04-03;04:00;11;Île-de-France;9792;Définitif;;;9792;5538;Consolidé;15330
2021-04-03T04:30:00+02:00;2021-04-03;04:30;11;Île-de-France;;;;;;5498;Consolidé;
2021-04-03T07:00:00+02:00;2021-04-03;07:00;11;Île-de-France;11132;Définitif;;;11132;6009;Consolidé;17141
2021-04-03T10:00:00+02:00;2021-04-03;10:00;11;Île-de-France;11991;Définitif;;;11991;7338;Consolidé;19329
2021-04-03T12:00:00+02:00;2021-04-03;12:00;11;Île-de-France;11253;Définitif;;;11253;7980;Consolidé;19233
2021-04-03T14:00:00+02:00;2021-04-03;14:00;11;Île-de-France;9253;Définitif;;;9253;7538;Consolidé;16791
2021-04-03T15:00:00+02:00;2021-04-03;15:00;11;Île-de-France;8524;Définitif;;;8524;7288;Consolidé;15812
2021-04-03T18:30:00+02:00;2021-04-03;18:30;11;Île-de-France;;;;;;6757;Consolidé;
2021-04-03T19:30:00+02:00;2021-04-03;19:30;11;Île-de-France;;;;;;7160;Consolidé;
2021-04-03T21:00:00+02:00;2021-04-03;21:00;11;Île-de-France;9735;Définitif;;;9735;7563;Consolidé;17298
2021-04-03T21:30:00+02:00;2021-04-03;21:30;11;Île-de-France;;;;;;7378;Consolidé;
2021-04-04T04:00:00+02:00;2021-04-04;04:00;11;Île-de-France;9951;Définitif;;;9951;6309;Consolidé;16260
2021-04-04T05:00:00+02:00;2021-04-04;05:00;11;Île-de-France;11306;Définitif;;;11306;6225;Consolidé;17531
2021-04-04T05:30:00+02:00;2021-04-04;05:30;11;Île-de-France;;;;;;6404;Consolidé;
2021-04-04T06:00:00+02:00;2021-04-04;06:00;11;Île-de-France;12549;Définitif;;;12549;6498;Consolidé;19047
2021-04-04T07:30:00+02:00;2021-04-04;07:30;11;Île-de-France;;;;;;6615;Consolidé;
2021-04-04T08:30:00+02:00;2021-04-04;08:30;11;Île-de-France;;;;;;7007;Consolidé;
2021-04-04T09:00:00+02:00;2021-04-04;09:00;11;Île-de-France;12679;Définitif;;;12679;7234;Consolidé;19913
2021-04-04T09:30:00+02:00;2021-04-04;09:30;11;Île-de-France;;;;;;7503;Consolidé;
2021-04-04T10:30:00+02:00;2021-04-04;10:30;11;Île-de-France;;;;;;7746;Consolidé;
2021-04-04T13:30:00+02:00;2021-04-04;13:30;11;Île-de-France;;;;;;7629;Consolidé;
2021-04-04T15:00:00+02:00;2021-04-04;15:00;11;Île-de-France;7799;Définitif;;;7799;7006;Consolidé;14805
2021-04-04T19:00:00+02:00;2021-04-04;19:00;11;Île-de-France;8714;Définitif;;;8714;6991;Consolidé;15705
2021-04-04T20:00:00+02:00;2021-04-04;20:00;11;Île-de-France;9518;Définitif;;;9518;7368;Consolidé;16886
2021-04-04T22:00:00+02:00;2021-04-04;22:00;11;Île-de-France;8811;Définitif;;;8811;7434;Consolidé;16245
2021-04-05T01:30:00+02:00;2021-04-05;01:30;11;Île-de-France;;;;;;6939;Consolidé;
2021-04-05T04:30:00+02:00;2021-04-05;04:30;11;Île-de-France;;;;;;6367;Consolidé;
2021-04-05T06:00:00+02:00;2021-04-05;06:00;11;Île-de-France;13397;Définitif;;;13397;6653;Consolidé;20050
2021-04-05T06:30:00+02:00;2021-04-05;06:30;11;Île-de-France;;;;;;6816;Consolidé;
2021-04-05T19:00:00+02:00;2021-04-05;19:00;11;Île-de-France;14090;Définitif;;;14090;9060;Consolidé;23150
2021-04-05T19:30:00+02:00;2021-04-05;19:30;11;Île-de-France;;;;;;9129;Consolidé;
2021-04-05T21:30:00+02:00;2021-04-05;21:30;11;Île-de-France;;;;;;9033;Consolidé;
