date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,10.6,8.0,14.0,0.0,,183.0,8.5,,1024.6,
2022-01-02,12.0,9.7,14.2,0.4,,216.0,14.0,,1018.9,
2022-01-03,11.7,10.8,12.9,8.2,,225.0,15.2,,1015.4,
2022-01-04,9.0,4.8,11.7,19.4,,276.0,13.5,,1002.0,
2022-01-05,4.6,2.4,6.7,0.0,,298.0,12.0,,1014.3,
2022-01-06,4.0,1.6,7.1,0.0,,251.0,8.1,,1021.5,
2022-01-07,5.6,3.0,8.3,7.2,,239.0,16.1,,1016.2,
2022-01-08,6.4,3.2,8.7,10.2,,240.0,16.4,,1009.2,
2022-01-09,5.4,4.6,7.3,7.1,,271.0,10.7,,1006.2,
2022-01-10,3.7,2.8,4.8,0.0,,151.0,6.8,,1020.5,
2022-01-11,1.8,0.4,3.0,0.0,,150.0,8.1,,1033.2,
2022-01-12,2.6,-0.1,5.5,0.0,,69.0,5.6,,1039.7,
2022-01-13,2.9,2.1,3.9,0.0,,31.0,7.9,,1041.1,
2022-01-14,3.8,1.6,7.2,0.0,,118.0,5.8,,1036.0,
2022-01-15,3.0,-0.3,7.9,0.2,,194.0,5.5,,1027.9,
2022-01-16,1.9,-0.9,5.4,0.8,,226.0,7.7,,1030.3,
2022-01-17,6.1,4.7,7.6,0.0,,294.0,5.4,,1037.5,
2022-01-18,5.4,2.3,9.6,0.2,,67.0,9.7,,1036.5,
2022-01-19,5.7,4.5,6.7,2.1,,255.0,8.7,,1028.9,
2022-01-20,5.4,3.9,7.1,0.2,,357.0,13.2,,1032.8,
2022-01-21,4.4,2.9,5.9,0.0,,2.0,12.6,,1038.0,
2022-01-22,5.5,4.9,6.3,0.0,,358.0,9.0,,1037.7,
2022-01-23,4.3,3.4,4.9,0.0,,86.0,9.3,,1035.4,
2022-01-24,3.5,0.7,7.3,0.0,,117.0,7.4,,1032.4,
2022-01-25,0.5,-1.2,2.0,0.0,,231.0,4.9,,1034.1,
2022-01-26,2.2,0.2,3.8,0.0,,339.0,6.6,,1035.5,
2022-01-27,4.9,2.6,7.4,0.4,,230.0,9.2,,1032.7,
2022-01-28,7.0,6.3,8.2,0.1,,243.0,7.5,,1037.0,
2022-01-29,8.7,6.3,10.7,0.3,,263.0,12.0,,1033.7,
2022-01-30,8.6,7.0,9.9,0.0,,321.0,8.2,,1031.5,
2022-01-31,7.2,4.7,8.5,0.9,,319.0,18.1,,1023.8,
2022-02-01,7.3,3.1,11.0,0.9,,275.0,13.7,,1025.5,
2022-02-02,10.4,9.2,11.4,0.0,,284.0,11.4,,1025.3,
2022-02-03,7.9,7.1,8.9,0.0,,236.0,10.4,,1020.0,
2022-02-04,7.7,5.5,11.3,1.4,,251.0,12.9,,1017.2,
2022-02-05,6.4,2.0,10.3,0.0,,258.0,11.2,,1025.4,
2022-02-06,9.2,7.4,11.2,7.9,,251.0,21.2,,1017.0,
2022-02-07,7.9,5.6,10.0,0.2,,296.0,11.9,,1027.6,
2022-02-08,8.6,5.7,11.3,0.0,,225.0,8.0,,1032.8,
2022-02-09,7.5,3.3,12.5,0.0,,194.0,6.3,,1027.4,
2022-02-10,7.5,5.4,10.3,1.3,,270.0,11.0,,1024.5,
2022-02-11,5.4,3.4,8.7,0.0,,305.0,7.5,,1032.6,
2022-02-12,4.4,0.7,9.1,0.0,,158.0,9.1,,1027.6,
2022-02-13,6.9,0.3,14.2,0.0,,190.0,14.2,,1012.3,
2022-02-14,9.5,6.9,12.2,5.5,,232.0,14.8,,1004.7,
2022-02-15,8.0,5.0,10.5,1.8,,250.0,15.6,,1014.7,
2022-02-16,12.4,9.2,15.6,5.3,,238.0,18.6,,1007.8,
2022-02-17,12.5,11.0,13.8,0.5,,268.0,17.7,,1014.4,
2022-02-18,10.7,7.2,12.4,3.0,,238.0,21.4,,1009.5,
2022-02-19,7.3,3.5,10.6,0.0,,250.0,18.5,,1018.8,
2022-02-20,10.9,8.4,13.4,0.3,,240.0,18.5,,1015.9,
2022-02-21,8.7,6.1,11.1,3.3,,291.0,21.4,,1014.8,
2022-02-22,9.3,6.3,12.4,0.4,,261.0,13.1,,1024.5,
2022-02-23,9.5,6.1,11.6,0.0,,247.0,7.4,,1025.8,
2022-02-24,8.4,4.8,12.0,2.4,,254.0,12.5,,1017.9,
2022-02-25,6.6,3.5,10.6,0.2,,307.0,12.3,,1028.3,
2022-02-26,6.1,2.6,10.3,0.2,,123.0,11.2,,1031.9,
2022-02-27,5.5,1.4,9.8,0.0,,132.0,12.0,,1026.9,
2022-02-28,6.0,1.1,11.6,0.0,,145.0,7.4,,1028.4,
2022-03-01,8.1,3.9,13.0,0.0,,154.0,6.6,,1026.5,
2022-03-02,9.1,6.5,12.8,0.0,,123.0,6.0,,1020.9,
2022-03-03,10.0,7.5,12.6,0.1,,201.0,6.2,,1016.8,
2022-03-04,10.2,8.7,12.6,0.1,,352.0,6.8,,1018.3,
2022-03-05,9.2,7.2,12.1,0.0,,26.0,9.1,,1019.7,
2022-03-06,5.6,2.0,9.1,0.0,,41.0,15.3,,1022.7,
2022-03-07,3.6,0.2,7.1,0.0,,84.0,14.6,,1021.8,
2022-03-08,6.1,0.2,13.0,0.0,,134.0,10.8,,1017.6,
2022-03-09,9.4,3.9,15.6,0.0,,179.0,9.8,,1020.5,
2022-03-10,11.0,5.6,17.2,0.0,,152.0,11.2,,1019.3,
2022-03-11,10.0,7.1,13.1,4.6,,173.0,12.6,,1011.0,
2022-03-12,8.5,6.0,10.6,2.3,,180.0,12.8,,1014.4,
2022-03-13,9.0,7.2,11.7,3.1,,180.0,14.1,,1011.7,
2022-03-14,9.6,4.4,15.0,0.0,,166.0,9.0,,1025.1,
